wt,wt CR,ybr053cD,Ybr053c CR,izh4D,izh4 CR,Pvac8ERG2,Pvac8ERG2 CR
23,32,29,30,46,18,16,34
28,21,24,16,35,45,30,34
27,23,37,14,41,26,27,28
36,24,10,26,54,30,20,31
36,24,38,28,44,36,14,32
39,43,42,9,33,23,16,33
31,43,22,32,28,28,29,46
23,23,52,31,24,22,22,42
29,21,24,28,31,22,18,34
36,35,21,40,24,56,39,38
25,38,23,34,14,37,5,29
12,47,32,36,32,32,20,38
24,34,13,31,24,27,26,22
10,39,18,22,27,12,31,40
10,14,36,19,31,36,26,19
28,44,41,18,31,15,24,21
32,54,44,38,24,15,34,32
35,38,13,15,23,20,22,25
29,36,40,12,42,10,35,35
36,35,26,32,26,16,31,25
37,38,43,34,43,18,21,34
28,31,37,18,23,10,23,21
24,12,45,27,23,10,19,21
33,41,39,42,24,19,19,26
17,41,22,37,29,10,26,28
32,28,32,34,32,12,23,18
28,13,28,5,34,14,15,4
51,31,30,21,52,21,32,27
28,35,38,35,19,15,21,22
28,27,40,21,21,27,30,18
